TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation 
36316,510,512,659.0,1,0,0,0,0,0,0,0,0,0
36317,509,511,659.0,1,0,0,0,0,0,0,0,0,0
36318,510,511,659.0,1,0,0,0,0,0,0,0,0,0
36319,512,510,659.0,1,0,0,0,0,0,0,0,0,0
36320,516,510,659.0,1,0,0,0,0,0,0,0,0,0
36321,520,510,659.0,1,0,0,0,0,0,0,0,0,0
36322,518,510,659.0,1,0,0,0,0,0,0,0,0,0
36323,513,510,659.0,1,0,0,0,0,0,0,0,0,0
36324,508,509,659.0,1,0,0,0,0,0,0,0,0,0
36325,505,508,659.0,1,0,0,0,0,0,0,0,0,0
36326,507,506,659.0,1,0,0,0,0,0,0,0,0,0
36327,510,505,659.0,1,0,0,0,0,0,0,0,0,0
36328,512,506,659.0,1,0,0,0,0,0,0,0,0,0
36329,512,509,659.0,1,0,0,0,0,0,0,0,0,0
36330,512,512,659.0,1,0,0,0,0,0,0,0,0,0
36331,512,515,659.0,1,0,0,0,0,0,0,0,0,0
36332,512,515,659.0,1,0,0,0,0,0,0,0,0,0
36333,512,516,659.0,1,0,0,0,0,0,0,0,0,0
36334,514,517,659.0,1,0,0,0,0,0,0,0,0,0
36335,516,517,659.0,1,0,0,0,0,0,0,0,0,0
36336,518,514,659.0,1,0,0,0,0,0,0,0,0,0
36337,519,511,659.0,1,0,0,0,0,0,0,0,0,0
36338,517,509,659.0,1,0,0,0,0,0,0,0,0,0
36339,514,508,659.0,1,0,0,0,0,0,0,0,0,0
36340,512,508,659.0,1,0,0,0,0,0,0,0,0,0
36341,510,508,659.0,1,0,0,0,0,0,0,0,0,0
36342,510,509,659.0,1,0,0,0,0,0,0,0,0,0
36343,510,508,659.0,1,0,0,0,0,0,0,0,0,0
36344,511,509,659.0,1,0,0,0,0,0,0,0,0,0
36345,511,511,659.0,1,0,0,0,0,0,0,0,0,0
36346,512,512,659.0,1,0,0,0,0,0,0,0,0,0
36347,511,513,659.0,1,0,0,0,0,0,0,0,0,0
36348,509,513,659.0,1,0,0,0,0,0,0,0,0,0
36349,508,512,659.0,1,0,0,0,0,0,0,0,0,0
36350,507,510,659.0,1,0,0,0,0,0,0,0,0,0
36351,507,509,659.0,1,0,0,0,0,0,0,0,0,0
36352,509,510,659.0,1,0,0,0,0,0,0,0,0,0
36353,512,511,659.0,1,0,0,0,0,0,0,0,0,0
36354,514,511,659.0,1,0,0,0,0,0,0,0,0,0
36355,512,512,659.0,1,0,0,0,0,0,0,0,0,0
36356,506,513,659.0,1,0,0,0,0,0,0,0,0,0
36357,502,511,659.0,1,0,0,0,0,0,0,0,0,0
36358,502,510,659.0,1,0,0,0,0,0,0,0,0,0
36359,503,510,659.0,1,0,0,0,0,0,0,0,0,0
36360,505,512,659.0,1,0,0,0,0,0,0,0,0,0
36361,504,514,659.0,1,0,0,0,0,0,0,0,0,0
36362,502,514,659.0,1,0,0,0,0,0,0,0,0,0
36363,502,516,659.0,1,0,0,0,0,0,0,0,0,0
36364,502,521,659.0,1,0,0,0,0,0,0,0,0,0
36365,502,518,659.0,1,0,0,0,0,0,0,0,0,0
36366,502,516,659.0,1,0,0,0,0,0,0,0,0,0
36367,501,513,659.0,1,0,0,0,0,0,0,0,0,0
36368,501,512,659.0,1,0,0,0,0,0,0,0,0,0
36369,501,510,659.0,1,0,0,0,0,0,0,0,0,0
36370,502,510,659.0,1,0,0,0,0,0,0,0,0,0
36371,502,512,659.0,1,0,0,0,0,0,0,0,0,0
36372,503,513,659.0,1,0,0,0,0,0,0,0,0,0
36373,504,513,659.0,1,0,0,0,0,0,0,0,0,0
36374,504,512,659.0,1,0,0,0,0,0,0,0,0,0
36375,504,511,659.0,1,0,0,0,0,0,0,0,0,0
36376,505,512,659.0,1,0,0,0,0,0,0,0,0,0
36377,506,512,659.0,1,0,0,0,0,0,0,0,0,0
36378,507,512,659.0,1,0,0,0,0,0,0,0,0,0
36379,507,512,659.0,1,0,0,0,0,0,0,0,0,0
36380,506,511,659.0,1,0,0,0,0,0,0,0,0,0
36381,507,511,659.0,1,0,0,0,0,0,0,0,0,0
36382,507,510,659.0,1,0,0,0,0,0,0,0,0,0
36383,508,509,659.0,1,0,0,0,0,0,0,0,0,0
36384,509,508,659.0,1,0,0,0,0,0,0,0,0,0
36385,510,506,659.0,1,0,0,0,0,0,0,0,0,0
36386,512,508,659.0,1,0,0,0,0,0,0,0,0,0
36387,512,510,659.0,1,0,0,0,0,0,0,0,0,0
36388,510,514,659.0,1,0,0,0,0,0,0,0,0,0
36389,508,514,659.0,1,0,0,0,0,0,0,0,0,0
36390,506,514,659.0,1,0,0,0,0,0,0,0,0,0
36391,507,512,659.0,1,0,0,0,0,0,0,0,0,0
36392,509,511,659.0,1,0,0,0,0,0,0,0,0,0
36393,511,510,659.0,1,0,0,0,0,0,0,0,0,0
36394,511,509,659.0,1,0,0,0,0,0,0,0,0,0
36395,512,509,659.0,1,0,0,0,0,0,0,0,0,0
36396,512,509,659.0,1,0,0,0,0,0,0,0,0,0
36397,511,509,659.0,1,0,0,0,0,0,0,0,0,0
36398,513,509,659.0,1,0,0,0,0,0,0,0,0,0
36399,515,509,659.0,1,0,0,0,0,0,0,0,0,0
36400,518,508,659.0,1,0,0,0,0,0,0,0,0,0
36401,516,508,659.0,1,0,0,0,0,0,0,0,0,0
36402,512,508,659.0,1,0,0,0,0,0,0,0,0,0
36403,509,508,659.0,1,0,0,0,0,0,0,0,0,0
36404,509,506,659.0,1,0,0,0,0,0,0,0,0,0
36405,509,505,659.0,1,0,0,0,0,0,0,0,0,0
36406,508,508,659.0,1,0,0,0,0,0,0,0,0,0
36407,508,510,659.0,1,0,0,0,0,0,0,0,0,0
36408,509,509,659.0,1,0,0,0,0,0,0,0,0,0
36409,509,507,659.0,1,0,0,0,0,0,0,0,0,0
36410,507,510,659.0,1,0,0,0,0,0,0,0,0,0
36411,507,513,659.0,1,0,0,0,0,0,0,0,0,0
36412,507,512,659.0,1,0,0,0,0,0,0,0,0,0
36413,506,509,659.0,1,0,0,0,0,0,0,0,0,0
36414,508,508,659.0,1,0,0,0,0,0,0,0,0,0
36415,511,509,659.0,1,0,0,0,0,0,0,0,0,0
36416,511,509,659.0,1,0,0,0,0,0,0,0,0,0
36417,512,509,659.0,1,0,0,0,0,0,0,0,0,0
36418,510,510,659.0,1,0,0,0,0,0,0,0,0,0
36419,507,510,659.0,1,0,0,0,0,0,0,0,0,0
36420,506,509,660.0,1,0,0,0,0,0,0,0,0,0
36421,505,508,659.0,1,0,0,0,0,0,0,0,0,0
36422,506,506,659.0,1,0,0,0,0,0,0,0,0,0
36423,505,506,659.0,1,0,0,0,0,0,0,0,0,0
36424,505,506,659.0,1,0,0,0,0,0,0,0,0,0
36425,506,510,659.0,1,0,0,0,0,0,0,0,0,0
36426,507,512,659.0,1,0,0,0,0,0,0,0,0,0
36427,507,512,659.0,1,0,0,0,0,0,0,0,0,0
36428,507,511,659.0,1,0,0,0,0,0,0,0,0,0
36429,507,511,659.0,1,0,0,0,0,0,0,0,0,0
36430,505,513,659.0,1,0,0,0,0,0,0,0,0,0
36431,506,514,659.0,1,0,0,0,0,0,0,0,0,0
36432,506,516,659.0,1,0,0,0,0,0,0,0,0,0
36433,506,513,659.0,1,0,0,0,0,0,0,0,0,0
36434,506,509,659.0,1,0,0,0,0,0,0,0,0,0
36435,506,507,659.0,1,0,0,0,0,0,0,0,0,0
36436,506,509,660.0,1,0,0,0,0,0,0,0,0,0
36437,506,511,660.0,1,0,0,0,0,0,0,0,0,0
36438,507,510,660.0,1,0,0,0,0,0,0,0,0,0
36439,507,510,659.0,1,0,0,0,0,0,0,0,0,0
36440,508,510,659.0,1,0,0,0,0,0,0,0,0,0
36441,509,510,660.0,1,0,0,0,0,0,0,0,0,0
36442,511,510,660.0,1,0,0,0,0,0,0,0,0,0
36443,513,510,659.0,1,0,0,0,0,0,0,0,0,0
36444,514,510,659.0,1,0,0,0,0,0,0,0,0,0
